"Cleve Hytera USA", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Hytera Bridge", "NONE", "1", "NONE", "2", "1"
"Cleve Lcl Overfl", "DMR", "12.5", "448.825000", "443.825000", "-NULL-", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "001.1", "000.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "2"
"Cleve TN Statewi", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "001.1", "000.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TN Statewide", "NONE", "1", "NONE", "2", "2"
"Cleveland Local", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Local", "NONE", "1", "NONE", "2", "1"
"Cleveland NA", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "DMR MARC NA", "NONE", "1", "NONE", "2", "1"
"Cleveland PRN", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "001.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "PRN", "NONE", "1", "NONE", "2", "2"
"Cleveland SE", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Southeast", "NONE", "1", "NONE", "2", "1"
"Cleveland TNTAC1", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TNTAC1", "NONE", "1", "NONE", "2", "1"
"Cleveland WW", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "DMR MARC WW", "NONE", "1", "NONE", "2", "1"
"Cleveland WWE", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "DMR MARC WW E", "NONE", "1", "NONE", "2", "1"
"ClevelandTAC310", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 310", "NONE", "1", "NONE", "2", "1"
"ClevelandTAC311", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Color Code Free", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 311", "NONE", "1", "NONE", "2", "1"
"ClevelandTAC312", "DMR", "12.5", "448.825000", "443.825000", "Cleveland", "NORMAL", "Always", "Medium", "Medium", "60", "0", "HIGH", "No", "No", "No", "No", "Yes", "000.1", "000.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "TAC 312", "NONE", "1", "NONE", "2", "1"
"Clr Timeslot AHO", "DMR", "12.5", "449.337500", "444.337500", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
"Clr Timeslot AIK", "DMR", "12.5", "448.462500", "443.462500", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "60", "0", "HIGH", "No", "No", "No", "No", "No", "D141I", "005.0", "120", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Aik Clr Timeslot", "NONE", "1", "NONE", "2", "1"
"Clr Timeslot BA", "DMR", "12.5", "445.687500", "440.687500", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
"Clr Timeslot BEC", "DMR", "12.5", "447.875000", "442.875000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
"Clr Timeslot BI", "DMR", "12.5", "449.287500", "444.287500", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
"Clr Timeslot BLU", "DMR", "12.5", "449.450000", "444.450000", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
"Clr Timeslot BOO", "DMR", "12.5", "448.037500", "443.037500", "-NULL-", "NORMAL", "Color Code Free", "Low", "Low", "180", "0", "HIGH", "No", "No", "No", "No", "No", "D151I", "005.0", "180", "Off", "Off", "YES", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NO", "NONE", "Clear Timeslot", "NONE", "1", "NONE", "2", "2"
